TIG_MyParcel2014::Enabled,Geactiveerd
"TIG_MyParcel2014::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw standaard voorkeuren in voor uw verzendopties. Deze instellingen worden als default op al uw zendingen toegepast, indien van toepassing. Deze opties zijn later, per zending, uiteraard nog wel aan te passen tijdens het verwerken. <br/><br/>De opties ""Alleen huisadres"", ""Handtekening bij ontvangst"", ""Retour bij niet aanwezig"" en de verschillende verzekeringen worden actief op basis van het totale order bedrag. Bijvoorbeeld, als u bij ""alleen huisadres"" 50 invult, dan wordt voor alle zendingen voor orders vanaf &euro; 50 standaard de instelling ""alleen huisadres"" aangevinkt. Of als u bij ""Verzekerd tot &euro; 250,-"" het getal 150 invult, dan worden alle orders vanaf &euro; 150 standaard verzekerd voor &euro; 250,- inkoopwaarde.<br/><br/>Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code. Deze waardes kunt u nog aanpassen wanneer u uw zending verwerkt."
TIG_MyParcel2014::Retourlink e-mail Template,Retourlink e-mail Template
TIG_MyParcel2014::PLACEHOLDER,PLACEHOLDER
TIG_MyParcel2014::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"TIG_MyParcel2014::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken. Zie voor details de <a target=""_blank"" href=""http://kb.tig.nl/topic/98526863"">KB</a>"
TIG_MyParcel2014::Print Orientation,Print ori&euml;ntatie
TIG_MyParcel2014::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
TIG_MyParcel2014::Enable test modus,Activeer test modus
TIG_MyParcel2014::Enable to test the extension,Activeer om test verzendingen te kunnen maken
TIG_MyParcel2014::Enable Myparcel Extension,Activeer MyParcel extensie
TIG_MyParcel2014::Enable or disable the MyParcel module.,Activeer of deactiveer de MyParcel extensie
TIG_MyParcel2014::Selecting 'No' will overrule all individual settings.,"Wanneer ""nee"" is geselecteerd worden alle individuele instellingen overruled."
TIG_MyParcel2014::General settings,Algemene instellingen
TIG_MyParcel2014::Basic settings,Basis instellingen
TIG_MyParcel2014::Checkout settings,Checkout instellingen
TIG_MyParcel2014::Cut-off time,Het laatste bestelmoment
"TIG_MyParcel2014::If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.","Indien een verzoek is gemaakt voor de levering opties tussen vrijdag na, en maandag voor, het aflevermoment dan zal dinsdag worden getoond als de volgende mogelijke leverdatum."
TIG_MyParcel2014::Numbers of days,Aantal dagen vooruit
TIG_MyParcel2014::day,dag
TIG_MyParcel2014::days,dagen
TIG_MyParcel2014::Hide days,Dagen verbergen
TIG_MyParcel2014::Drop-off days,Verzenddagen
"TIG_MyParcel2014::Saturday, Sunday, Monday","Zaterdag, zondag, maandag"
TIG_MyParcel2014::Tuesday,Dinsdag
TIG_MyParcel2014::Wednesday,Woensdag
TIG_MyParcel2014::Thursday,Donderdag
TIG_MyParcel2014::Friday,Vrijdag
TIG_MyParcel2014::Dropoff-delay,Vertraging
"TIG_MyParcel2014::This options allows you to set the number of days it takes you to pick, pack and hand in your parcels at PostNL when ordered before the cutoff time.","Stel hier het aantal dagen in die je nodig hebt om het product (te ontvangen,) te verpakken en aan te bieden bij PostNL, vanaf het moment dat de bestelling is geplaatst."
TIG_MyParcel2014::No delay,Geen vertraging
TIG_MyParcel2014::Base color,Basis kleur
TIG_MyParcel2014::Color for selected items,Kleur voor geselecteerde items
TIG_MyParcel2014::Add style to the checkout,Voeg een css file toe aan de checkout
TIG_MyParcel2014::Delivery,Bezorging
TIG_MyParcel2014::Delivery title,Bezorging titel
TIG_MyParcel2014::To determine the base price you have to navigate in the menu to <a id=""shipping_method_link"">Shipping Methods</a>.,Om de basisprijs te bepalen moet je navigeren naar <a id=""shipping_method_link"">Verzendmethodes</a>
TIG_MyParcel2014::Deliver the package only at address of the intended recipient,Lever het pakket alleen aan het adres van de beoogde ontvanger.
TIG_MyParcel2014::Home address only title,Alleen huisadres titel
TIG_MyParcel2014::Home address only fee,Alleen huisadres prijs
TIG_MyParcel2014::Signature on receipt title,Handtekening voor ontvangst titel
TIG_MyParcel2014::Signature on receipt fee,Handtekening voor ontvangst prijs
TIG_MyParcel2014::Home address only and signature on receipt together fee,De prijs van handtekening voor ontvangst en alleen huisadres samen
TIG_MyParcel2014::If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,Als beide geselecteerd zijn zal deze prijs bij de normale verzendkosten worden opgeteld. Laat leeg om dit niet te gebruiken.
TIG_MyParcel2014::Morning delivery,Ochtendlevering
TIG_MyParcel2014::Morning delivery active,Ochtendlevering actief
TIG_MyParcel2014::Morning delivery fee,Ochtendlevering prijs
TIG_MyParcel2014::Evening delivery,Avondlevering
TIG_MyParcel2014::Evening delivery active,Avondlevering actief
TIG_MyParcel2014::Evening delivery fee,Avondlevering prijs
TIG_MyParcel2014::Pickup at PostNL location,Ophalen bij PostNL locatie
TIG_MyParcel2014::Pickup active,Ophalen actief
TIG_MyParcel2014::Pickup title,Ophalen titel
TIG_MyParcel2014::Pickup fee,Ophalen prijs
TIG_MyParcel2014::Pickup Express at PostNL location,Extra vroeg ophalen bij PostNL locatie
TIG_MyParcel2014::Pickup Express active,Extra vroeg ophalen actief
TIG_MyParcel2014::Pickup Express fee,Extra vroeg ophalen prijs
TIG_MyParcel2014::API Key,API Key,
TIG_MyParcel2014::The API Key given by MyParcel.,Stel hier de API key in die is ontvangen vanuit MyParcel
TIG_MyParcel2014::API Username,API Gebruikersnaam
TIG_MyParcel2014::Your MyParcel username.,Vul hier de gebruikersnaam in voor het MyParcel platform
TIG_MyParcel2014::To get your personal API credentials you should contact MyParcel.,Neem contact op met MyParcel om de API gegevens te ontvangen.
TIG_MyParcel2014::API settings,API Instellingen
TIG_MyParcel2014::"Wrong API key. Go to MyParcel settings to set the API key.","Verkeerde API key. Ga naar de instellingen van de MyParcel plugin om de juiste API key in te vullen."
TIG_MyParcel2014::Version &amp; Support,Versie &amp; Support
TIG_MyParcel2014::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
TIG_MyParcel2014::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
TIG_MyParcel2014::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
TIG_MyParcel2014::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
TIG_MyParcel2014::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
TIG_MyParcel2014::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
TIG_MyParcel2014::MyParcel replied with the following warnings:,MyParcel heeft geantwoord met de volgende waarschuwingen:
TIG_MyParcel2014::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
TIG_MyParcel2014::Order #%s cannot be shipped at this time.,Order #%s kan niet verzonden worden op dit moment
TIG_MyParcel2014::Invalid full street supplied: %s.,Invalide volledige straatnaam opgegeven: %s.
TIG_MyParcel2014::Address is too long. Make the delivery address less than 40 characters. Click on send (in the order detail page) to create a concept. And then edit the shipment in the backoffice of MyParcel.,Adres is te lang. Maak het bezorgadres korter dan 40 tekens. Klik op verzenden (in de order detailpagina) om een concept aan te maken. En bewerk de zending vervolgens in de backoffice van MyParcel.
TIG_MyParcel2014::Something went wrong with splitting up address %s.,Er is iets fout gegaan met het opsplitsen van adres %s. Voeg het adres handmatig toe in de backoffice van MyParcel.
TIG_MyParcel2014::Something went wrong with splitting up housenumber %s.,Er is iets fout gegaan met het opsplitsen van huisnummer %s. Voeg het adres handmatig toe in de backoffice van MyParcel.
TIG_MyParcel2014::Invalid housnumber supplied: %s.,Invalide huisnummer opgegeven: %s
TIG_MyParcel2014::Invalid session requested.,Invalide sessie opgevraagd
TIG_MyParcel2014::Invalid message type requested: %s.,Invalide bericht-type opgevraagd: %s
TIG_MyParcel2014::No message supplied.,Geen bericht meegegeven
TIG_MyParcel2014::No message type supplied.,Geen bericht-type meegegeven
TIG_MyParcel2014::Click here for more information from the TiG knowledgebase.,Klik hier voor meer informatie van de TIG kennisbank.
TIG_MyParcel2014::An error occurred while processing your request: ,Er is een fout opgetreden tijdens het verwerken van dit verzoek:
TIG_MyParcel2014::The createConsignment action is currently unavailable.,De createConsigment actie is tijdelijk niet beschikbaar
TIG_MyParcel2014::Invalid createConsignment response.,Invalide createConsignment antwoord
TIG_MyParcel2014::Streetname is to long: %s.,Straatnaam is te lang: %s (gebruikt maximaal 40 letters)
TIG_MyParcel2014::Shipping status,Verzend status
TIG_MyParcel2014::MyParcel - Create Shipments,MyParcel - Cre&euml;er verzendingen
TIG_MyParcel2014::MyParcel - Print shipping labels,MyParcel - Print verzend labels
TIG_MyParcel2014::Download log files,Download log bestanden
TIG_MyParcel2014::Unknown rate type specified: %s.,Onbekend tarief type opgegeven: %s.
TIG_MyParcel2014::Flat,Plat
TIG_MyParcel2014::Table,Tabel
TIG_MyParcel2014::Invalid PakjeGemak address.,Ongeldig PostNL locatie adres.
TIG_MyParcel2014::Invalid phone number.,Invalide telefoonnummer.
TIG_MyParcel2014::Invalid housenumber extension.,Invalide huisnummer extensie.
TIG_MyParcel2014::A4,A4
TIG_MyParcel2014::A6,A6
TIG_MyParcel2014::Commercial Goods,Commerciele goederen
TIG_MyParcel2014::Commercial Sample,Commercieel Proef
TIG_MyParcel2014::Documents,Documenten
TIG_MyParcel2014::Gift,Gift
TIG_MyParcel2014::Returned Goods,Retour goederen
TIG_MyParcel2014::Yes,Ja
TIG_MyParcel2014::No,Nee
TIG_MyParcel2014::Myparcel Consignment Options,MyParcel Verzend Opties
TIG_MyParcel2014::Insured amount,Verzekerd bedrag
TIG_MyParcel2014::Insured,Verzekerd
TIG_MyParcel2014::MyParcel version %s,MyParcel versie %s
TIG_MyParcel2014::Magento &amp; 3rd party version compatibility,Magento &amp; derde partijen ondersteuning
TIG_MyParcel2014::Magento Community Edition version,Magento Community Edition versie
TIG_MyParcel2014::Magento Enterprise Edition version,Magento Enterprise Edition versie
TIG_MyParcel2014::Idev's OneStepCheckout version,Idev's OneStepCheckout versie
TIG_MyParcel2014::IWD's OnePageCheckout version,IWD's OnePageCheckout versie
TIG_MyParcel2014::Support,Ondersteuning
TIG_MyParcel2014::The extension is developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
TIG_MyParcel2014::MyParcel account questions and information,MyParcel account vragen en informatie
"TIG_MyParcel2014::For questions related to your MyParcel account, configuration problems, extension conflicts and bugs, please contact MyParcel.","Voor vragen gerelateerd aan uw MyParcel account, configuratie problemen, extensie conflicten en bugs, neemt u contact op met MyParcel."
TIG_MyParcel2014::Phone,Telefoon
TIG_MyParcel2014::Online knowledgebase,Online kennisbank
TIG_MyParcel2014::Request help directly,Vraag direct hulp
TIG_MyParcel2014::Email,E-mail
TIG_MyParcel2014::Documentation,Documentatie
TIG_MyParcel2014::A list of documents regarding the extension.,Een lijst met document aangaande de extensie.
TIG_MyParcel2014::View the installation and configuration manual.,Bekijk de installatie en configuratie handleiding.
TIG_MyParcel2014::Installation and configuration manual,Installatie en configuratie handleiding
TIG_MyParcel2014::View the user manual.,Bekijk de gebruikers handleiding
TIG_MyParcel2014::User manual,Gebruikers handleiding
TIG_MyParcel2014::View the complete changelog of the extension.,Bekijk de volledige release notes van de extensie
TIG_MyParcel2014::Latest stable release,Laatste stabiele versie
TIG_MyParcel2014::Full changelog,Volledige release notes
TIG_MyParcel2014::MyParcel PgAddress class missing.,MyParcel PgAddress class mist
TIG_MyParcel2014::Select a transactional e-mail template to send the retourlink,Selecteer een transactionele e-mail template om de retourlink te verzenden.
TIG_MyParcel2014::Select a transactional e-mail template to send the barcode,Selecteer een transactionele e-mail template om de Track&amp;Trace code te versturen
TIG_MyParcel2014::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,"Maak een transactionele e-mail aan, daarin zal de variabele {{var retourlink}} beschikbaar zijn om te retourlink te verzenden."
TIG_MyParcel2014::Unable to send track and trace email for shipment #,Versturen van track & trace e-mail mislukt voor zending #
TIG_MyParcel2014::Track&amp;Trace e-mail is sent: %s,Track & Trace e-mail is verzonden: %s
TIG_MyParcel2014::Credit Consignment,Crediteer zending
TIG_MyParcel2014::Mail return label,Mail retourlabel
TIG_MyParcel2014::Retour label mailed,Retour label is gemaild naar de klant
TIG_MyParcel2014::This only works for Dutch addresses,Dit werkt alleen voor nederlandse adressen
TIG_MyParcel2014::Name client,Naam klant
TIG_MyParcel2014::Email client,Email klant
TIG_MyParcel2014::Label description,Eigen kenmerk
TIG_MyParcel2014::You did not specify a name,Je hebt geen naam opgeven
TIG_MyParcel2014::You did not specify a email,Je hebt geen email opgeven
TIG_MyParcel2014::Mail send to,Mail verzonden naar
"TIG_MyParcel2014::Credit has not been created, check MyParcel backend for details","Credit is niet aangemaakt, zie MyParcel backend voor meer informatie."
TIG_MyParcel2014::Consignment %s is credited at MyParcel,Zending %s is gecrediteerd bij MyParcel.
"TIG_MyParcel2014::Select 'no' if you have problems with addresses on the labels","Selecteer 'nee' als u problemen heeft met adressen op de labels."
TIG_MyParcel2014::Split street parts,Deel straatnaam velden op
TIG_MyParcel2014::Streetname field,Straatnaam veld
TIG_MyParcel2014::Housenr. field,Huisnummer veld
TIG_MyParcel2014::Split house number parts,Deel huisnummervelden op
TIG_MyParcel2014::Housenr. extension field,Huisnr. extensie veld
TIG_MyParcel2014::Street line #%s,Adresregel #%s
TIG_MyParcel2014::The weight in Magento is specified in gram instead of kg,Het gewicht in Magento is opgegeven in gram i.p.v. kg
TIG_MyParcel2014::Select 'Yes' if the weight is not properly picked up by the MyParcel plugin,Selecteer 'Ja' als het gewicht niet goed wordt opgepakt door de MyParcel plugin
TIG_MyParcel2014::This will be added to the regular shipping price,Dit zal bij de normale verzendkosten worden opgeteld
TIG_MyParcel2014::Default shipment type for Cross Domestic shipments,Standaard verzend inhoud voor Cross Domestic verzendingen
"TIG_MyParcel2014::When changing the address, you need to cancel the current MyParcel shipment(s) linked to this order and create new MyParcel shipments.","Wanneer het adres gewijzigd wordt, bent u genoodzaakt om de gekoppelde MyParcel verzendingen te crediteren en nieuwe MyParcel verzendingen aan te maken."
"TIG_MyParcel2014::To read the instructions for the MyParcel Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","Klik <a target=""_blank"" href=""%s"">hier</a> om de handleiding van de MyParcel Magento extensie te bekijken."
TIG_MyParcel2014::When using the extension please note:,Aandachtspunten bij het gebruik van deze extensie:
TIG_MyParcel2014::To be able to configure the extension you need to possess and use an active MyParcel account.,U dient een actief MyParcel account te hebben om de extensie te kunnen configureren.
"TIG_MyParcel2014::During the transition phase the old Magento MyParcel extension can remain active. However, you do need to turn off PakjeGemak in the old MyParcel extension.",Indien u de oude MyParcel extensie gebruikt kan deze actief blijven in de overgangsfase. Wel dient u PakjeGemak in de oude MyParcel extensie uit te schakelen.
TIG_MyParcel2014::We cannot guarantee perfect functionality of the MyParcel extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact MyParcel.<br><br>Supported extensions:,"Indien u de extensie wilt gebruiken op een niet-ondersteunde versie of editie van Magento, of als u de extensie wilt gebruiken samen met een 3rd party extensie die niet ondersteund wordt, kunnen wij niet garanderen dat de MyParcel extensie feilloos zal functioneren. Voor vragen kunt u contact opnemen met MyParcel.<br><br>Ondersteunde extensies:"
TIG_MyParcel2014::Installation and configuration instructions,Installatie en configuratie handleiding
TIG_MyParcel2014::Overview articles in knowledge base,Meest gestelde vragen
TIG_MyParcel2014::Questions and information about your MyParcel account,MyParcel account vragen en informatie
"TIG_MyParcel2014::Shipments will not be delivered at the neighbours, only on house address.","Zendingen worden niet bij de buren aangeboden, alleen op huisadres."
TIG_MyParcel2014::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Zendingen gaan niet naar een afhaallocatie en komen direct retour na bezorgpogingen.
TIG_MyParcel2014::Unable to save check_status cron expression: %s,Het is niet gelukt om de check_status cron expressie op te slaan: %s
TIG_MyParcel2014::Some of the shipments could not be created or could not be created at MyParcel from the selected orders. See below for detailed information.,Een aantal van de geselecteerde orders is een foutmelding opgetreden tijdens het aanmaken van de verzending. Zie hieronder voor gedetailleerde informatie.
TIG_MyParcel2014::Select A4 print start position,Selecteer de A4 print start positie
"TIG_MyParcel2014::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Vul de goederen code voor zendingen buiten de EU in, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de bestaande codes."
TIG_MyParcel2014::Create MyParcel Consignment,Cre&euml;er MyParcel verzending
TIG_MyParcel2014::Orders until today,Orders t/m vandaag
TIG_MyParcel2014::Send today,Vandaag verzenden
TIG_MyParcel2014::Send later,Later verzenden
TIG_MyParcel2014::Old orders, Oude bestellingen
TIG_MyParcel2014::Track&amp;Trace link: %s,Track&amp;Trace link: %s
TIG_MyParcel2014::Is letter box parcel,Is brievenbuspakje
TIG_MyParcel2014::Shipment type,Zendingtype
TIG_MyParcel2014::Accordance with type consignment,Conform type zending
TIG_MyParcel2014::Normal,Pakket
TIG_MyParcel2014::Letter box,Brievenbuspakje
TIG_MyParcel2014::Unstamped,Ongefrankeerd
TIG_MyParcel2014::The MyParcel consignment is successfully created.,De MyParcel zending is succesvol aangemaakt.
TIG_MyParcel2014::Choose a pickup location,Selecteer MyParcel Verzendopties
TIG_MyParcel2014::Selected post office location:,Geselecteerde postkantoor locatie:
TIG_MyParcel2014::Zipcode,Postcode
TIG_MyParcel2014::Search by zipcode, address or city,Zoek op postcode, adres of plaats
TIG_MyParcel2014::Search by zipcode and housenumber,Zoeken op postcode en huisnummer
"TIG_MyParcel2014::Search by zipcode, address or city","Zoek op postcode, adres of plaats"
"TIG_MyParcel2014::Search by zipcode and housenumber","Zoeken op postcode en huisnummer"
"TIG_MyParcel2014::Unfortunately no locations could be found. Please check your postcode and house number combination.","Er zijn geen resultaten gevonden. Probeer een andere postcode/huisnummer combinatie en/of verwijder de huisnummertoevoeging."
TIG_MyParcel2014::Housenumber,Huisnummer
TIG_MyParcel2014::Search,Zoeken
TIG_MyParcel2014::Nearest myparcel pickup points,Dichtstbijzijnde afhaal locaties
TIG_MyParcel2014::PostNL location Method name,PostNL locatie methode naam
TIG_MyParcel2014::Unpaid,Ongefrankeerd
TIG_MyParcel2014::The consignment is already credited.,Deze zending is al gecrediteerd.
TIG_MyParcel2014::MyParcel - Create labels,MyParcel - Cre&euml;er labels
TIG_MyParcel2014::Print packing slip,Print pakbon
TIG_MyParcel2014::Send,Verzenden
TIG_MyParcel2014::Today,Vandaag
TIG_MyParcel2014::Letterbox,Brievenbuspakje
TIG_MyParcel2014::Select,Selecteer
TIG_MyParcel2014::Insured up to:,Verzekeren tot:
TIG_MyParcel2014::Close,Sluiten
TIG_MyParcel2014::International shipments can not be sent by,Internationale zendingen kunnen niet verzonden worden met een
TIG_MyParcel2014::Choose a PostNL pickup location,Kies PostNL afhaallocatie
"TIG_MyParcel2014::The selected shipment-type cannot be used, Pakjegemak-shipments can only be created with the normal shipment type.","Het geselecteerde zending-type kan niet gebruikt worden, 'PostNL locatie' zendingen kunnen enkel aangemaakt worden met het normale verzend-type."
TIG_MyParcel2014::MyParcel - Create Magento shipments (no labels),MyParcel - Cre&euml;er Magento verzendingen (geen labels)
TIG_MyParcel2014::Insured up to &euro;%s,Verzekerd tot &euro;%s
TIG_MyParcel2014::Total order value: &euro; %s,Totaal order bedrag: &euro; %s
TIG_MyParcel2014::Shipment insured up to &euro; %s purchase value,Verzekerd tot een inkoopbedrag van € %s,-
"TIG_MyParcel2014::By creating this shipment, you create a concept in MyParcel.<br>In the backoffice of MyParcel you can further customize the options.","Voor deze zending wordt een conceptzending aangemaakt.<br>In de backoffice van MyParcel is deze eventueel nog aan te passen."
TIG_MyParcel2014::Post Office Address,Gekozen afhaallocatie
"TIG_MyParcel2014::The selected shipment type cannot be used. Pakjegemak shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a MyParcel shipment, select a different shipment type or go to the shipment page to create a single MyParcel shipment. <a target=""_blank"" href=""%s"">View shipment</a>","De geselecteerde zending type kan niet gebruikt worden. 'PostNL locatie' zendingen kunnen enkel aangemaakt worden middels de normale verzendtype. <br/>De Magento zending is aangemaakt zonder een MyParcel zending, selecteer een ander verzend type of ga naar de Magento zending pagina en maak daar een MyParcel zending aan. <a target=""_blank"" href=""%s"">Bekijk zending</a>"
TIG_MyParcel2014::Only for dutch shipments,Alleen voor Nederlandse verzendingen
"TIG_MyParcel2014::Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
TIG_MyParcel2014::Always use MyParcel,Gebruik MyParcel voor alle verzendmethodes
"TIG_MyParcel2014::Select 'No' in order to set the shipping methods that must be regarded as MyParcel.","Selecteer 'Nee' om de verzendmethodes in te stellen die als MyParcel beschouwd moet worden."
TIG_MyParcel2014::Use shipment address for PostNL location,Voeg PostNL locatie toe aan het afleveradres
TIG_MyParcel2014::Use shipment address for 'Ophalen op een PostNL locatie'. The customer will see the address on the invoice. Set to 'No' if you are using AfterPay.,Gebruik het afleveradres voor 'Ophalen op een PostNL locatie'. De klant zal het adres op het factuur zien. Stel in op 'Nee' als je bijvoorbeeld AfterPay gebruikt.
TIG_MyParcel2014::Use filter in order overview,Gebruik filter in order overzicht
"TIG_MyParcel2014::Select 'No if you are using a plugin that is present in the order summary and therefore experience problems.","Selecteer 'nee' als je een plugin gebruikt die aanwezig is in het order overzicht en daardoor problemen ervaart."

TIG_MyParcel2014::status_1,Concept
TIG_MyParcel2014::status_2,Voorgemeld
TIG_MyParcel2014::status_3,Aangeboden aan postNL
TIG_MyParcel2014::status_4,In sorteerproces
TIG_MyParcel2014::status_5,In distributie
TIG_MyParcel2014::status_6,Zending bij douane
TIG_MyParcel2014::status_7,Zending afgeleverd
TIG_MyParcel2014::status_8,Zending op afhaallocatie
TIG_MyParcel2014::status_9,Zending afgehaald op afhaallocatie
TIG_MyParcel2014::status_10,Retourzending afgeleverd
TIG_MyParcel2014::status_11,Retourzending op afhaallocatie
TIG_MyParcel2014::status_12,Ongefrankeerd label geprint
TIG_MyParcel2014::status_13,Gecrediteerd
TIG_MyParcel2014::status_30,Inactief - Concept
TIG_MyParcel2014::status_31,Inactief - Voorgemeld
TIG_MyParcel2014::status_32,Inactief - Aangeboden bij PostNL
TIG_MyParcel2014::status_33,Inactief - In sorteerprocess
TIG_MyParcel2014::status_34,Inactief - In distributie
TIG_MyParcel2014::status_35,Inactief - Zending bij douane
TIG_MyParcel2014::status_36,Inactief - Zending afgeleverd
TIG_MyParcel2014::status_37,Inactief - Zending op afhaallocatie
TIG_MyParcel2014::status_38,Inactief - Zending afgehaald op afhaallocatie
TIG_MyParcel2014::status_39,Inactief - Retourzending afgeleverd
TIG_MyParcel2014::status_40,Inactief - Retourzending op afhaallocactie
TIG_MyParcel2014::status_99,Inactief - Onbekende status

"All Allowed Countries","Alle toegestane landen"
"Specific Countries","Specifieke landen"
"The configuration has been saved.","De configuratie is opgeslagen."
"Weight vs. Destination","Gewicht vs. Bestemming"
"Price vs. Destination","Prijs vs. Bestemming"
"# of Items vs. Destination","# Items vs. Bestemming"
"Fixed","Vast"
"Percent","Percentage"
"TIG_MyParcel2014::There are no log files to be downloaded.","Er zijn geen log files om te downloaden."
TIG_MyParcel2014::PostNL location minimum order total enabled,PostNL locatie minimum totaal bedrag actief
"TIG_MyParcel2014::PostNL location minimum order total, incl. BTW","PostNL locatie minimum totaal bedrag, incl. BTW"
TIG_MyParcel2014::Mailbox title,Brievenbuspakje titel
TIG_MyParcel2014::Leave blank to automate mailbox packets only in the backend,Laat leeg om brievenbuspakjes alleen in de backend te automatiseren
TIG_MyParcel2014::Mailbox weight,Brievenbuspakje gewicht
"TIG_MyParcel2014::Besides assigning weights to all products, you can also specify a volume of each product.","Om deze functie optimaal te gebruiken, stel je eerst het gewicht of volume in van jouw producten."
TIG_MyParcel2014::Mailbox fee,Brievenbuspakje prijs
TIG_MyParcel2014::Enter a basic price for a mailbox. The regular price will not affect this price.,Vul een totaalprijs in voor een brievenbuspakje.
TIG_MyParcel2014::Automate mailbox package,Brievenbuspakje automatiseren
"TIG_MyParcel2014::PostNL location will not be visible if the subtotal of an order is below this value","'Ophalen op een PostNL locatie' zal niet zichtbaar zijn als het bedrag van een bestelling onder deze waarde valt"

TIG_MyParcel2014::PostNL location:,PostNL locatie:
TIG_MyParcel2014::deliver:,bezorgen:
TIG_MyParcel2014::TYPE_morning,Ochtendlevering
TIG_MyParcel2014::TYPE_standard,Middaglevering
TIG_MyParcel2014::TYPE_night,Avondlevering
