MyParcel_MyParcelBE::Enabled,Geactiveerd
"MyParcel_MyParcelBE::If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.","Als een bestelling tussen vrijdag na, en maandag voor, het opgegeven bestelmoment wordt gedaan dan zal dinsdag worden getoond als eerstvolgende afleverdag."
MyParcel_MyParcelBE::Numbers of days,Aantal dagen vooruit
MyParcel_MyParcelBE::day,dag
MyParcel_MyParcelBE::days,dagen
MyParcel_MyParcelBE::Hide days,Dagen verbergen
MyParcel_MyParcelBE::Drop-off days,Verzenddagen
"MyParcel_MyParcelBE::Monday","Maandag"
MyParcel_MyParcelBE::Tuesday,Dinsdag
MyParcel_MyParcelBE::Wednesday,Woensdag
MyParcel_MyParcelBE::Thursday,Donderdag
MyParcel_MyParcelBE::Friday,Vrijdag
MyParcel_MyParcelBE::Saturday,Zaterdag
MyParcel_MyParcelBE::Monday delivery,Maandagbezorging
MyParcel_MyParcelBE::Note: Monday delivery is only possible when the package is delivered before 15.00 on Saturday at the designated PostNL locations. Click <a href="https://blog.myparcel.nl/maandagbezorging" target="_blank">here</a> for more information concerning Monday delivery and the locations.,Let op: Maandaglevering is alleen mogelijk wanneer zaterdag het pakket voor 15.00 wordt geleverd bij één van de hiervoor bestemde PostNL locaties. Klik <a href="https://blog.myparcel.nl/maandagbezorging" target="_blank">hier</a> voor de locaties en meer informatie omtrent de maandaglevering.
MyParcel_MyParcelBE::Monday delivery cut-off time,Laatste bestelmoment voor maandagbezorging
"MyParcel_MyParcelBE::If a request is made before this time on Saturday, Monday will be shown as the next possible delivery date. ","Als een bestelling voor dit tijdstip op zaterdag wordt gedaan zal maandag als eerstvolgende afleverdag worden getoond."
MyParcel_MyParcelBE::Dropoff-delay,Vertraging
"MyParcel_MyParcelBE::This options allows you to set the number of days it takes you to pick, pack and hand in your parcels at PostNL when ordered before the cutoff time.","Stel hier het aantal dagen in die je nodig hebt om het product (te ontvangen,) te verpakken en aan te bieden bij PostNL, vanaf het moment dat de bestelling is geplaatst."
MyParcel_MyParcelBE::No delay,Geen vertraging
MyParcel_MyParcelBE::Base color,Basis kleur
MyParcel_MyParcelBE::Color for selected items,Kleur voor geselecteerde items
MyParcel_MyParcelBE::Add style to the checkout,Voeg een css file toe aan de checkout
MyParcel_MyParcelBE::Font size,Lettertypegrootte
MyParcel_MyParcelBE::Leave blank to automatically determine the font size,Laat leeg om de lettertypegrootte automatisch te bepalen
MyParcel_MyParcelBE::Delivery,Bezorging
MyParcel_MyParcelBE::Delivery title,Bezorging titel
MyParcel_MyParcelBE::To determine the base price you have to navigate in the menu to <a id=""shipping_method_link"">Shipping Methods</a>.,Om de basisprijs te bepalen moet je navigeren naar <a id=""shipping_method_link"">Verzendmethodes</a>
MyParcel_MyParcelBE::Deliver the package only at address of the intended recipient,Lever het pakket alleen aan het adres van de beoogde ontvanger.
MyParcel_MyParcelBE::Home address only title,Alleen huisadres titel
MyParcel_MyParcelBE::Home address only fee,Alleen huisadres prijs
MyParcel_MyParcelBE::Signature on receipt title,Handtekening voor ontvangst titel
MyParcel_MyParcelBE::Signature on receipt fee,Handtekening voor ontvangst prijs
MyParcel_MyParcelBE::Home address only and signature on receipt together fee,De prijs van handtekening voor ontvangst en alleen huisadres samen
MyParcel_MyParcelBE::If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,Als beide geselecteerd zijn zal deze prijs bij de normale verzendkosten worden opgeteld. Laat leeg om dit niet te gebruiken.
MyParcel_MyParcelBE::Morning delivery,Ochtendlevering
MyParcel_MyParcelBE::Morning delivery active,Ochtendlevering actief
MyParcel_MyParcelBE::Morning delivery fee,Ochtendlevering prijs
MyParcel_MyParcelBE::Evening delivery,Avondlevering
MyParcel_MyParcelBE::Evening delivery active,Avondlevering actief
MyParcel_MyParcelBE::Evening delivery fee,Avondlevering prijs
MyParcel_MyParcelBE::Pickup at PostNL location,Ophalen bij PostNL locatie
MyParcel_MyParcelBE::Pickup active,Ophalen actief
MyParcel_MyParcelBE::Pickup title,Ophalen titel
MyParcel_MyParcelBE::Pickup fee,Ophalen prijs
MyParcel_MyParcelBE::Pickup Express at PostNL location,Extra vroeg ophalen bij PostNL locatie
MyParcel_MyParcelBE::Pickup Express active,Extra vroeg ophalen actief
MyParcel_MyParcelBE::Pickup Express fee,Extra vroeg ophalen prijs
MyParcel_MyParcelBE::Pickup at Belgium PostNL location,Ophalen bij een Belgische PostNL locatie
MyParcel_MyParcelBE::Pickup Belgium active,Ophalen België actief
MyParcel_MyParcelBE::Pickup Belgium title,Ophalen België titel
MyParcel_MyParcelBE::Pickup Belgium fee,Ophalen België prijs
MyParcel_MyParcelBE::API Key,API Key,
MyParcel_MyParcelBE::The API Key given by MyParcel.,Stel hier de API key in die is ontvangen vanuit MyParcel
MyParcel_MyParcelBE::API Username,API Gebruikersnaam
MyParcel_MyParcelBE::Your MyParcel username.,Vul hier de gebruikersnaam in voor het MyParcel platform
MyParcel_MyParcelBE::To get your personal API credentials you should contact MyParcel.,Neem contact op met MyParcel om de API gegevens te ontvangen.
MyParcel_MyParcelBE::API settings,API Instellingen
MyParcel_MyParcelBE::"Wrong API key. Go to MyParcel settings to set the API key.","Verkeerde API key. Ga naar de instellingen van de MyParcel plugin om de juiste API key in te vullen."
MyParcel_MyParcelBE::Version &amp; Support,Versie &amp; Support
MyParcel_MyParcelBE::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
MyParcel_MyParcelBE::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
MyParcel_MyParcelBE::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
MyParcel_MyParcelBE::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
MyParcel_MyParcelBE::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
MyParcel_MyParcelBE::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
MyParcel_MyParcelBE::MyParcel replied with the following warnings:,MyParcel heeft geantwoord met de volgende waarschuwingen:
MyParcel_MyParcelBE::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
MyParcel_MyParcelBE::Order #%s cannot be shipped at this time.,Order #%s kan niet verzonden worden op dit moment
MyParcel_MyParcelBE::Invalid full street supplied: %s.,Invalide volledige straatnaam opgegeven: %s.
MyParcel_MyParcelBE::Address is too long. Make the delivery address less than 40 characters. Click on send (in the order detail page) to create a concept. And then edit the shipment in the backoffice of MyParcel.,Adres is te lang. Maak het bezorgadres korter dan 40 tekens. Klik op verzenden (in de order detailpagina) om een concept aan te maken. En bewerk de zending vervolgens in de backoffice van MyParcel.
MyParcel_MyParcelBE::Something went wrong with splitting up address %s.,Er is iets fout gegaan met het opsplitsen van adres %s. Voeg het adres handmatig toe in de backoffice van MyParcel.
MyParcel_MyParcelBE::Something went wrong with splitting up housenumber %s.,Er is iets fout gegaan met het opsplitsen van huisnummer %s. Voeg het adres handmatig toe in de backoffice van MyParcel.
MyParcel_MyParcelBE::Invalid housnumber supplied: %s.,Invalide huisnummer opgegeven: %s
MyParcel_MyParcelBE::Invalid session requested.,Invalide sessie opgevraagd
MyParcel_MyParcelBE::Invalid message type requested: %s.,Invalide bericht-type opgevraagd: %s
MyParcel_MyParcelBE::No message supplied.,Geen bericht meegegeven
MyParcel_MyParcelBE::No message type supplied.,Geen bericht-type meegegeven
MyParcel_MyParcelBE::Click here for more information from the TiG knowledgebase.,Klik hier voor meer informatie van de TIG kennisbank.
MyParcel_MyParcelBE::An error occurred while processing your request: ,Er is een fout opgetreden tijdens het verwerken van dit verzoek:
MyParcel_MyParcelBE::The createConsignment action is currently unavailable.,De createConsigment actie is tijdelijk niet beschikbaar
MyParcel_MyParcelBE::Invalid createConsignment response.,Invalide createConsignment antwoord
MyParcel_MyParcelBE::Streetname is to long: %s.,Straatnaam is te lang: %s (gebruikt maximaal 40 letters)
MyParcel_MyParcelBE::Shipping status,Verzend status
MyParcel_MyParcelBE::MyParcel - Create Shipments,MyParcel - Cre&euml;er verzendingen
MyParcel_MyParcelBE::MyParcel - Print shipping labels,MyParcel - Print verzend labels
MyParcel_MyParcelBE::Download log files,Download log bestanden
MyParcel_MyParcelBE::Unknown rate type specified: %s.,Onbekend tarief type opgegeven: %s.
MyParcel_MyParcelBE::Flat,Plat
MyParcel_MyParcelBE::Table,Tabel
MyParcel_MyParcelBE::Invalid PakjeGemak address.,Ongeldig PostNL locatie adres.
MyParcel_MyParcelBE::Invalid phone number.,Invalide telefoonnummer.
MyParcel_MyParcelBE::Invalid housenumber extension.,Invalide huisnummer extensie.
MyParcel_MyParcelBE::A4,A4
MyParcel_MyParcelBE::A6,A6
MyParcel_MyParcelBE::Commercial Goods,Commerciele goederen
MyParcel_MyParcelBE::Commercial Sample,Commercieel Proef
MyParcel_MyParcelBE::Documents,Documenten
MyParcel_MyParcelBE::Gift,Gift
MyParcel_MyParcelBE::Returned Goods,Retour goederen
MyParcel_MyParcelBE::Yes,Ja
MyParcel_MyParcelBE::No,Nee
MyParcel_MyParcelBE::Myparcel Consignment Options,MyParcel Verzend Opties
MyParcel_MyParcelBE::Insured amount,Verzekerd bedrag
MyParcel_MyParcelBE::Insured,Verzekerd
MyParcel_MyParcelBE::MyParcel version %s,MyParcel versie %s
MyParcel_MyParcelBE::Magento &amp; 3rd party version compatibility,Magento &amp; derde partijen ondersteuning
MyParcel_MyParcelBE::Magento Community Edition version,Magento Community Edition versie
MyParcel_MyParcelBE::Magento Enterprise Edition version,Magento Enterprise Edition versie
MyParcel_MyParcelBE::Idev's OneStepCheckout version,Idev's OneStepCheckout versie
MyParcel_MyParcelBE::IWD's OnePageCheckout version,IWD's OnePageCheckout versie
MyParcel_MyParcelBE::Support,Ondersteuning
MyParcel_MyParcelBE::The extension is developed by Total Internet Group.,Deze extensie is ontwikkeld door Total Internet Group.
MyParcel_MyParcelBE::MyParcel account questions and information,MyParcel account vragen en informatie
"MyParcel_MyParcelBE::For questions related to your MyParcel account, configuration problems, extension conflicts and bugs, please contact MyParcel.","Voor vragen gerelateerd aan uw MyParcel account, configuratie problemen, extensie conflicten en bugs, neemt u contact op met MyParcel."
MyParcel_MyParcelBE::Phone,Telefoon
MyParcel_MyParcelBE::Online knowledgebase,Online kennisbank
MyParcel_MyParcelBE::Request help directly,Vraag direct hulp
MyParcel_MyParcelBE::Email,E-mail
MyParcel_MyParcelBE::Documentation,Documentatie
MyParcel_MyParcelBE::A list of documents regarding the extension.,Een lijst met document aangaande de extensie.
MyParcel_MyParcelBE::View the installation and configuration manual.,Bekijk de installatie en configuratie handleiding.
MyParcel_MyParcelBE::Installation and configuration manual,Installatie en configuratie handleiding
MyParcel_MyParcelBE::View the user manual.,Bekijk de gebruikers handleiding
MyParcel_MyParcelBE::User manual,Gebruikers handleiding
MyParcel_MyParcelBE::View the complete changelog of the extension.,Bekijk de volledige release notes van de extensie
MyParcel_MyParcelBE::Latest stable release,Laatste stabiele versie
MyParcel_MyParcelBE::Full changelog,Volledige release notes
MyParcel_MyParcelBE::MyParcel PgAddress class missing.,MyParcel PgAddress class mist
MyParcel_MyParcelBE::Select a transactional e-mail template to send the retourlink,Selecteer een transactionele e-mail template om de retourlink te verzenden.
MyParcel_MyParcelBE::Select a transactional e-mail template to send the barcode,Selecteer een transactionele e-mail template om de Track&amp;Trace code te versturen
MyParcel_MyParcelBE::You can create a new transactional e-mail where the variables {{var retourlink}} is available.,"Maak een transactionele e-mail aan, daarin zal de variabele {{var retourlink}} beschikbaar zijn om te retourlink te verzenden."
MyParcel_MyParcelBE::Unable to send track and trace email for shipment #,Versturen van track & trace e-mail mislukt voor zending #
MyParcel_MyParcelBE::Track&amp;Trace e-mail is sent: %s,Track & Trace e-mail is verzonden: %s
MyParcel_MyParcelBE::Credit Consignment,Crediteer zending
MyParcel_MyParcelBE::Mail return label,Mail retourlabel
MyParcel_MyParcelBE::Retour label mailed,Retour label is gemaild naar de klant
MyParcel_MyParcelBE::This only works for Dutch addresses,Dit werkt alleen voor nederlandse adressen
MyParcel_MyParcelBE::Name client,Naam klant
MyParcel_MyParcelBE::Email client,Email klant
MyParcel_MyParcelBE::Label description,Eigen kenmerk
MyParcel_MyParcelBE::You did not specify a name,Je hebt geen naam opgeven
MyParcel_MyParcelBE::You did not specify a email,Je hebt geen email opgeven
MyParcel_MyParcelBE::Mail send to,Mail verzonden naar
"MyParcel_MyParcelBE::Credit has not been created, check MyParcel backend for details","Credit is niet aangemaakt, zie MyParcel backend voor meer informatie."
MyParcel_MyParcelBE::Consignment %s is credited at MyParcel,Zending %s is gecrediteerd bij MyParcel.
"MyParcel_MyParcelBE::Select 'no' if you have problems with addresses on the labels","Selecteer 'nee' als u problemen heeft met adressen op de labels."
MyParcel_MyParcelBE::Split street parts,Deel straatnaam velden op
MyParcel_MyParcelBE::Streetname field,Straatnaam veld
MyParcel_MyParcelBE::Housenr. field,Huisnummer veld
MyParcel_MyParcelBE::Split house number parts,Deel huisnummervelden op
MyParcel_MyParcelBE::Housenr. extension field,Huisnr. extensie veld
MyParcel_MyParcelBE::Street line #%s,Adresregel #%s
MyParcel_MyParcelBE::The weight in Magento is specified in gram instead of kg,Het gewicht in Magento is opgegeven in gram i.p.v. kg
MyParcel_MyParcelBE::Select 'Yes' if the weight is not properly picked up by the MyParcel plugin,Selecteer 'Ja' als het gewicht niet goed wordt opgepakt door de MyParcel plugin
MyParcel_MyParcelBE::This will be added to the regular shipping price,Dit zal bij de normale verzendkosten worden opgeteld
MyParcel_MyParcelBE::Default shipment type for Cross Domestic shipments,Standaard verzend inhoud voor Cross Domestic verzendingen
"MyParcel_MyParcelBE::When changing the address, you need to cancel the current MyParcel shipment(s) linked to this order and create new MyParcel shipments.","Wanneer het adres gewijzigd wordt, bent u genoodzaakt om de gekoppelde MyParcel verzendingen te crediteren en nieuwe MyParcel verzendingen aan te maken."
"MyParcel_MyParcelBE::To read the instructions for the MyParcel Magento extension, click <a target=""_blank"" href=""%s"">here</a>.","Klik <a target=""_blank"" href=""%s"">hier</a> om de handleiding van de MyParcel Magento extensie te bekijken."
MyParcel_MyParcelBE::When using the extension please note:,Aandachtspunten bij het gebruik van deze extensie:
MyParcel_MyParcelBE::To be able to configure the extension you need to possess and use an active MyParcel account.,U dient een actief MyParcel account te hebben om de extensie te kunnen configureren.
"MyParcel_MyParcelBE::During the transition phase the old Magento MyParcel extension can remain active. However, you do need to turn off PakjeGemak in the old MyParcel extension.",Indien u de oude MyParcel extensie gebruikt kan deze actief blijven in de overgangsfase. Wel dient u PakjeGemak in de oude MyParcel extensie uit te schakelen.
MyParcel_MyParcelBE::We cannot guarantee perfect functionality of the MyParcel extension when you intend to use the extension on a version of Magento that is not supported or when you intend to use the extension together with a 3rd part extension that is not supported. If you have any questions please contact MyParcel.<br><br>Supported extensions:,"Indien u de extensie wilt gebruiken op een niet-ondersteunde versie of editie van Magento, of als u de extensie wilt gebruiken samen met een 3rd party extensie die niet ondersteund wordt, kunnen wij niet garanderen dat de MyParcel extensie feilloos zal functioneren. Voor vragen kunt u contact opnemen met MyParcel.<br><br>Ondersteunde extensies:"
MyParcel_MyParcelBE::Installation and configuration instructions,Installatie en configuratie handleiding
MyParcel_MyParcelBE::Overview articles in knowledge base,Meest gestelde vragen
MyParcel_MyParcelBE::Questions and information about your MyParcel account,MyParcel account vragen en informatie
"MyParcel_MyParcelBE::Shipments will not be delivered at the neighbours, only on house address.","Zendingen worden niet bij de buren aangeboden, alleen op huisadres."
MyParcel_MyParcelBE::Shipments will not go the a pickup point but will be returned directly after multiple delivery attempts.,Zendingen gaan niet naar een afhaallocatie en komen direct retour na bezorgpogingen.
MyParcel_MyParcelBE::Unable to save check_status cron expression: %s,Het is niet gelukt om de check_status cron expressie op te slaan: %s
MyParcel_MyParcelBE::Some of the shipments could not be created or could not be created at MyParcel from the selected orders. See below for detailed information.,Een aantal van de geselecteerde orders is een foutmelding opgetreden tijdens het aanmaken van de verzending. Zie hieronder voor gedetailleerde informatie.
MyParcel_MyParcelBE::Select A4 print start position,Selecteer de A4 print start positie
"MyParcel_MyParcelBE::Select content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>","Vul de goederen code voor zendingen buiten de EU in, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de bestaande codes."
MyParcel_MyParcelBE::Create MyParcel Consignment,Cre&euml;er MyParcel verzending
MyParcel_MyParcelBE::Orders until today,Alle orders t/m vandaag verzenden
MyParcel_MyParcelBE::Send today,Alleen vandaag verzenden
MyParcel_MyParcelBE::Send until tomorrow,Alle orders t/m morgen verzenden
MyParcel_MyParcelBE::Send later,Later verzenden
MyParcel_MyParcelBE::Old orders,Alle orders t/m gisteren
MyParcel_MyParcelBE::Track&amp;Trace link: %s,Track&amp;Trace link: %s
MyParcel_MyParcelBE::Is letter box parcel,Is brievenbuspakje
MyParcel_MyParcelBE::Shipment type,Zendingtype
MyParcel_MyParcelBE::Accordance with type consignment,Conform type zending
MyParcel_MyParcelBE::Normal,Pakket
MyParcel_MyParcelBE::Letter box,Brievenbuspakje
MyParcel_MyParcelBE::Unstamped,Ongefrankeerd
MyParcel_MyParcelBE::The MyParcel consignment is successfully created.,De MyParcel zending is succesvol aangemaakt.
MyParcel_MyParcelBE::Choose a pickup location,Selecteer MyParcel Verzendopties
MyParcel_MyParcelBE::Selected post office location:,Geselecteerde postkantoor locatie:
MyParcel_MyParcelBE::Zipcode,Postcode
MyParcel_MyParcelBE::Search by zipcode, address or city,Zoek op postcode, adres of plaats
MyParcel_MyParcelBE::Search by zipcode and housenumber,Zoeken op postcode en huisnummer
"MyParcel_MyParcelBE::Search by zipcode, address or city","Zoek op postcode, adres of plaats"
"MyParcel_MyParcelBE::Search by zipcode and housenumber","Zoeken op postcode en huisnummer"
"MyParcel_MyParcelBE::Unfortunately no locations could be found. Please check your postcode and house number combination.","Er zijn geen resultaten gevonden. Probeer een andere postcode/huisnummer combinatie en/of verwijder de huisnummertoevoeging."
MyParcel_MyParcelBE::Housenumber,Huisnummer
MyParcel_MyParcelBE::Search,Zoeken
MyParcel_MyParcelBE::Nearest myparcel pickup points,Dichtstbijzijnde afhaal locaties
MyParcel_MyParcelBE::PostNL location Method name,PostNL locatie methode naam
MyParcel_MyParcelBE::Unpaid,Ongefrankeerd
MyParcel_MyParcelBE::The consignment is already credited.,Deze zending is al gecrediteerd.
MyParcel_MyParcelBE::MyParcel - Create labels,MyParcel - Cre&euml;er labels
MyParcel_MyParcelBE::Print packing slip,Print pakbon
MyParcel_MyParcelBE::Send,Verzenden
MyParcel_MyParcelBE::Today,Vandaag
MyParcel_MyParcelBE::Letterbox,Brievenbuspakje
MyParcel_MyParcelBE::Select,Selecteer
MyParcel_MyParcelBE::Insured up to:,Verzekeren tot:
MyParcel_MyParcelBE::Close,Sluiten
MyParcel_MyParcelBE::International shipments can not be sent by,Internationale zendingen kunnen niet verzonden worden met een
MyParcel_MyParcelBE::Choose a PostNL pickup location,Kies PostNL afhaallocatie
"MyParcel_MyParcelBE::The selected shipment-type cannot be used, Pakjegemak-shipments can only be created with the normal shipment type.","Het geselecteerde zending-type kan niet gebruikt worden, 'PostNL locatie' zendingen kunnen enkel aangemaakt worden met het normale verzend-type."
MyParcel_MyParcelBE::Create shipments (no labels),Cre&euml;er verzendingen (geen labels)
MyParcel_MyParcelBE::Insured up to &euro;%s,Verzekerd tot &euro;%s
MyParcel_MyParcelBE::Total order value: &euro; %s,Totaal order bedrag: &euro; %s
MyParcel_MyParcelBE::Shipment insured up to &euro; %s purchase value,Verzekerd tot een inkoopbedrag van € %s,-
"MyParcel_MyParcelBE::By creating this shipment, you create a concept in MyParcel.<br>In the backoffice of MyParcel you can further customize the options.","Voor deze zending wordt een conceptzending aangemaakt.<br>In de backoffice van MyParcel is deze eventueel nog aan te passen."
MyParcel_MyParcelBE::Post Office Address,Gekozen afhaallocatie
"MyParcel_MyParcelBE::The selected shipment type cannot be used. Pakjegemak shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a MyParcel shipment, select a different shipment type or go to the shipment page to create a single MyParcel shipment. <a target=""_blank"" href=""%s"">View shipment</a>","De geselecteerde zending type kan niet gebruikt worden. 'PostNL locatie' zendingen kunnen enkel aangemaakt worden middels de normale verzendtype. <br/>De Magento zending is aangemaakt zonder een MyParcel zending, selecteer een ander verzend type of ga naar de Magento zending pagina en maak daar een MyParcel zending aan. <a target=""_blank"" href=""%s"">Bekijk zending</a>"
MyParcel_MyParcelBE::Only for dutch shipments,Alleen voor Nederlandse verzendingen
"MyParcel_MyParcelBE::Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
MyParcel_MyParcelBE::Always use MyParcel,Gebruik MyParcel voor alle verzendmethodes
"MyParcel_MyParcelBE::Select 'No' in order to set the shipping methods that must be regarded as MyParcel.","Selecteer 'Nee' om de verzendmethodes in te stellen die als MyParcel beschouwd moet worden."
MyParcel_MyParcelBE::Use shipment address for PostNL location,Voeg PostNL locatie toe aan het afleveradres
MyParcel_MyParcelBE::Use shipment address for 'Ophalen op een PostNL locatie'. The customer will see the address on the invoice. Set to 'No' if you are using AfterPay.,Gebruik het afleveradres voor 'Ophalen op een PostNL locatie'. De klant zal het adres op het factuur zien. Stel in op 'Nee' als je bijvoorbeeld AfterPay gebruikt.
MyParcel_MyParcelBE::Use filter in order overview,Gebruik filter in order overzicht
"MyParcel_MyParcelBE::Select 'No' if you are using a plugin that is present in the order summary and therefore experience problems.","Selecteer 'nee' als je een plugin gebruikt die aanwezig is in het order overzicht en daardoor problemen ervaart."

MyParcel_MyParcelBE::status_1,Concept
MyParcel_MyParcelBE::status_2,Voorgemeld
MyParcel_MyParcelBE::status_3,Aangeboden aan postNL
MyParcel_MyParcelBE::status_4,In sorteerproces
MyParcel_MyParcelBE::status_5,In distributie
MyParcel_MyParcelBE::status_6,Zending bij douane
MyParcel_MyParcelBE::status_7,Zending afgeleverd
MyParcel_MyParcelBE::status_8,Zending op afhaallocatie
MyParcel_MyParcelBE::status_9,Zending afgehaald op afhaallocatie
MyParcel_MyParcelBE::status_10,Retourzending afgeleverd
MyParcel_MyParcelBE::status_11,Retourzending op afhaallocatie
MyParcel_MyParcelBE::status_12,Ongefrankeerd label geprint
MyParcel_MyParcelBE::status_13,Gecrediteerd
MyParcel_MyParcelBE::status_30,Inactief - Concept
